name;rating_date;rating;comments
K***k;2023.02.21;5.0;this product blends so nicely, best with a brush. I found that a beauty blender absorbs all the product. the pigment is amazing, very happy for the price
C***a;2023.02.20;5.0;I want every color these are so pretty an they blend out super good
S***z;2023.02.20;5.0;Color Bloom Liquid Blush Matte Finish-Hush Hush
E***a;2023.02.20;5.0;This blush is amazing as a beginner to make up it was so easy to use beautiful color highly recommend
S***n;2023.02.19;5.0;Works great
C***r;2023.02.19;5.0;Alles super danke
H***t;2023.02.18;5.0;Color is absolutely beautiful. I personally don’t like pink blushes and this color is such a good peachy orange and it’s absolutely stunning 10/10
W***z;2023.02.18;5.0;Great product 👍
K***a;2023.02.18;5.0;Rare, beauty, blush dupe
M***d;2023.02.15;5.0;Very easy to blend and natural looking
B***n;2023.02.09;5.0;Amazing blush I love it and wear it every day
M***d;2023.02.08;5.0;I really enjoyed the products but I did find that the contour was a bit muddy. Blush was 10/10 though!
N***e;2023.02.08;5.0;Absolutely love this and it’s the perfect pigment.
E***n;2023.02.07;5.0;Great color, amazing application!!
Y***i;2023.02.04;5.0;so in love with these blushes
C***Z;2023.02.03;5.0;Loved the the color on my skin!
S***o;2023.02.01;5.0;Very beautiful and easy to blend !
S***o;2023.01.31;5.0;This liquid blush is so easy to apply. The color was scary deep (to me) when first applied, but blended well and stayed put all day/
S***D;2023.01.31;5.0;So easy to blend, colour is perfect.
Y***i;2023.02.04;5.0;so in love with these blushes
C***Z;2023.02.03;5.0;Loved the the color on my skin!
S***o;2023.02.01;5.0;Very beautiful and easy to blend !
S***o;2023.01.31;5.0;This liquid blush is so easy to apply. The color was scary deep (to me) when first applied, but blended well and stayed put all day/
S***D;2023.01.31;5.0;So easy to blend, colour is perfect.
P***o;2023.01.30;5.0;Most pretty blush I have ever worn. The most perfect pink shade, and blends out beautifully.
A***e;2023.01.29;5.0;bought the shade love cake and i love it so much. it blends so easily, looks amazing and wears all day. thank you!!!
I***a;2023.01.28;5.0;Love it
A***n;2023.01.25;5.0;Color Bloom Liquid Blush Matte Finish-Rose Ritual
C***r;2023.01.25;5.0;very good. melts into my skin really well and doesn’t have any problems being to vibrant. i love the sponge it comes which easy applicator
N***l;2023.01.21;5.0;Color Bloom Liquid Blush Matte Finish-Devoted
R***s;2023.01.20;5.0;The color is beautiful and these are so easy to blend. Especially considering how cheap they are.
B***s;2023.01.17;5.0;I cannot believe what a beautiful satin finish this leaves. It’s so cheap but amazing. Buildable coverage for sure.
B***n;2023.01.14;5.0;It has just the right amount of pigment, it’s not completely matte but doesn’t look shiny, and it blends perfectly.
C***r;2023.01.12;5.0;I did not receive it so disappointed 😞 more than 21 days very bad dont trust this
M***o;2023.01.10;5.0;Love the packaging it comes in. It blends so smoothly and I love how buildable it is. Super light weight and had the perfect amount of color for my skin.
J***a;2023.01.08;5.0;Y’all I’ve never been in love with a blush! For the price this does the job very well!!!!
T***a;2023.01.05;5.0;Very pretty color. Blush blends on so easily and leaves a very pretty wash of color
T***w;2023.01.04;5.0;I love this product! Very pigmented and easy application. A little goes a long way.
M***a;2023.01.04;5.0;Color Bloom Liquid Blush Matte Finish-Rose Ritual
S***a;2023.01.04;5.0;Espectacular!
J***c;2023.01.03;5.0;Love the color, love everything about this! Its practical, blends really well.
m***a;2023.01.01;5.0;Color Bloom Liquid Blush Matte Finish-Love Cake
N***o;2022.12.31;5.0;I purchased because I was intrigued by the packaging. These are the best hidden little gems. SO affordable, so creamy, pigmented, blendable, fun to use. I have not done my makeup without the blush or bronzer since I purchased.
E***z;2022.12.30;5.0;Color Bloom Liquid Blush Matte Finish-Hush Hush
E***z;2022.12.30;5.0;In love
M***.;2022.12.29;5.0;l' ho  provato oggi...assieme ad un altro colore che ho ordinato e ad una palette occhi....tutto fantastico. Il blush brilla ed e' facile da stendere. La palette e' a dire poco meravigliosa. Comprerò sicuramente ancora da sheglam. Peccato i tempi di spedizione un po' lunghi...
S***p;2022.12.29;5.0;Love it!  Blends great
S***i;2022.12.21;5.0;Color Bloom Liquid Blush Matte Finish-Float On
H***s;2022.12.15;5.0;Color Bloom Liquid Blush Matte Finish-Rose Ritual
L***z;2022.12.15;5.0;Very nice packaging good product quality at a very good price I'm very happy with my purchase.
A***s;2022.12.14;5.0;I’m really happy with this product, the pigment, the blending all great, I’ll buy it again for sure!!
M***P;2022.12.10;5.0;I love this liquid blush...finish is amazing. Definetly recomanded
R***u;2022.12.07;5.0;It’s a pretty color. My go to blush for everyday use
M***e;2022.12.02;5.0;I love this blush. It makes your skin glow. I would like one in a fushia  color
M***a;2022.12.02;5.0;beautiful dirty mauvey/pinkish red, cold undertone...
M***a;2022.12.02;5.0;beautiful milky-barbie pink colour....
M***a;2022.12.02;5.0;wonderfull warm coral-red blush...
M***a;2022.12.02;5.0;"as with all Sheglam blushes,this one is also fantastic!!Pale orange shade,a bit colder undertone...neutral,but very flattering on pale skin..
excellent product!!!"
M***a;2022.12.01;5.0;"tlThis is hands down,the greatest series of liquid blushes I've ever encountered...
Amazing quality,great colours!
B.suit is a rusty,warm orange and it is blendable like any other Sheglam blush....gorgeous color,no streaks...stays on yr face,doesn't migrate,smells great...
and @ that price...??
say no more..I stocked up,you never know🤣🤣🤣"
S***m;2022.11.30;5.0;I purchased Bloom and it’s absolutely beautiful, super easy to apply (love the sponge applicator!) and blend. Will definitely be looking to purchase more colors!!
A***n;2022.11.29;5.0;Not much product needed, very pigmented, very beautiful shades. By far my favorite product!
C***r;2022.11.29;5.0;I use this blush every day
S***n;2022.11.26;5.0;Color Bloom Liquid Blush Matte Finish-Birthday Suit
L***B;2022.11.26;5.0;I love these blushes not a fan of matte products but other than that the color payoff is great and I love using liquids and creams.
C***n;2022.11.25;5.0;Skin like finish and the most perfect pink blush! Absolute perfection!
D***r;2022.11.24;5.0;(redacted)
A***h;2022.11.24;5.0;I got Love Cake blush for a gift and I LOVE it! Beautiful
C***r;2022.11.22;5.0;This is it. I’m age 72 and this is the best blending blush. Love color. Will buy again.
C***r;2022.11.07;5.0;Awesome product— beautiful for a natural, flushed color!!
D***s;2022.11.06;5.0;"I bought about 12 products . I bought about two blushes. Best I ever had !!! https://www.tiktok.com/t/ZTRxj31QX/

Made a tiktok review"
K***k;2022.11.04;5.0;Not only does this blush have pigment but it blends amazingly! As a professional makeup artist I will be adding more to my collection 💕
e***y;2022.11.04;5.0;Super affordable and pigmented and I love love the packaging
A***l;2022.11.01;5.0;I love this blush soo much! the packaging is sooo cute, and the blush is easy to blend!
C***r;2022.10.28;5.0;Nice color
S***a;2022.10.26;5.0;It’s so smooth & beautiful!
G***z;2022.10.26;5.0;I love they way these liquid blushes apply! They just put the whole glam look together
R***s;2022.10.22;5.0;Best blush ever.
J***l;2022.10.20;5.0;It’s amazing, very creamy and easy to blend it’s also very buildable
A***i;2022.10.20;5.0;Color Bloom Liquid Blush Matte Finish-Devoted
a***s;2022.10.19;5.0;so pigmented, creamy, and easy to blend. also long lasting
C***.;2022.10.09;5.0;I love this blush, a little goes a long way. I have it in 3 different colors and am just amazed at the pigment, ease of use, and stays on all day!
P***z;2022.10.06;5.0;It blends like butter & is nicely pigmented
C***r;2022.10.05;5.0;Amazing product for price. Very reasonable.
C***r;2022.10.04;5.0;Blends nicely really pretty tone. Smaller than expected. Perfect blush
C***r;2022.09.30;5.0;I loved every product Except the liquid highlighter I was going to send it back but I just kept it. Other than that I loved everything else
Ñ***;2022.09.30;5.0;This has been my everyday blush and it gives the perfect sun kisses looked. As someone with a darker complexion, it is very difficult to obtain that look but this works perfectly.
C***r;2022.09.29;5.0;I love the blush from sheglam💗 got it in 2 colors ant they‘re amazing
C***r;2022.09.27;5.0;Lives up to the hype! Beautiful colors, lasts all day and blends like a dream!
A***n;2022.09.22;5.0;Amazing! 10/10 I loved this!
C***a;2022.09.22;5.0;i love this blush ! it is very easy to blend
A***o;2022.09.08;5.0;Me encanto
E***n;2022.09.04;5.0;My new favorite blush. Amazing tone and pigment. Makes my skin look slightly shimmered and yet real.
Χ***ς;2022.09.02;5.0;Love it!!🥰
E***i;2022.08.30;5.0;Color Bloom Liquid Blush-Birthday Suit
e***z;2022.08.19;5.0;Beautiful
f***a;2022.08.10;5.0;"Facile à appliquer et à estomper
Fan à 10%"
C***e;2022.08.07;5.0;"Fantastic pigment, you only need a touch. 
I will be ordering more :)"
S***e;2022.08.02;5.0;Love it.
S***u;2022.08.02;5.0;Excellent product and beautiful color, very easy to apply. Love it!
V***o;2022.07.27;5.0;Love My  Makeup
F***s;2022.07.23;5.0;Love this with the contour one makes a great duo , this is my go to face makeup now!
A***a;2022.07.07;5.0;I love this blush product so much! Pigmented colour and blends so smooth on. My new fave!
M***s;2022.06.29;5.0;Nice colour and pigmentations
Q***t;2022.06.05;5.0;Easy to put on , beautiful colors and choices so soft yet without much so perfect love it
C***A;2022.05.12;5.0;I have pale skin and this is a lovely peachy pink shade, a little goes a long way. Very happy with this product 😊
T***M;2022.03.23;5.0;"Beautiful color and it's buildable so works even on self tanned skin! Smooth formula...ordered the whole set! 
At almost 42, this formula works great on aging skin!"
N***a;2022.02.23;5.0;The color and the texture are simply amazing!
R***R;2022.02.07;5.0;I tried 3 shades and loved them all. They are very pigmented and blend beautifully. They are so affordable which makes them the best blush out there. Love love love them !!
G***r;2022.01.29;5.0;I really like liquid blushes, the applicator is nice and it blends well, lasts a long time too. I got Love Cake and Risky Buisness both of the shades are great! Will be buying more from the brand, great quality makeup for the price point
C***d;2022.01.29;5.0;Fantastic,all the colors are great and it goes on smoothly.
m***y;2022.01.20;5.0;This is the second one I have purchased and I love them.  The first one was a little darker than shown on the web page so i bought a second one and it's perfect. My complexion is very fair so if i want to use the darker one i just blend it out more and apply less.  Definitely will be buying again.
J***t;2021.12.30;5.0;Wrong color make sure you are very careful on the website at least the mobile one guy got the totally wrong color from what I thought it was it’s kind of orange where I am more on the pink side so I’m trying to figure that out
A***l;2022.12.21;4.0;Love the formula, blends well, the color is exactly what I wanted it's nice and pinky/peachy which I love!
Y***e;2024.11.23;4.0;Beautiful color
C***d;2022.01.29;5.0;Fantastic,all the colors are great and it goes on smoothly.
m***y;2022.01.20;5.0;This is the second one I have purchased and I love them.  The first one was a little darker than shown on the web page so i bought a second one and it's perfect. My complexion is very fair so if i want to use the darker one i just blend it out more and apply less.  Definitely will be buying again.
J***t;2021.12.30;5.0;Wrong color make sure you are very careful on the website at least the mobile one guy got the totally wrong color from what I thought it was it’s kind of orange where I am more on the pink side so I’m trying to figure that out
A***l;2022.12.21;4.0;Love the formula, blends well, the color is exactly what I wanted it's nice and pinky/peachy which I love!
Y***e;2024.11.23;4.0;Beautiful color
Y***e;2024.11.23;4.0;Color is beautiful hope stay on.
O***s;2024.09.12;4.0;Color Bloom Liquid Blush-Petal Talk
8***y;2024.08.23;4.0;"i ordered two liquid blushes the hush hush and love cake they are so perfect but they don’t last for a long time on the cheeks i always want to do a retouch 
but overall the items i ordered are so good"
R***n;2024.06.10;4.0;It had a amazing color and stayed on for the whole day.
g***n;2024.06.08;4.0;Color Bloom Liquid Blush Matte Finish-Rose Ritual
Y***k;2024.05.04;4.0;Gut
M***3;2024.02.25;4.0;this blush has a beautifull tone to it that makes it very flattering on many skintones. my only complaint (which is a point of preference.) is that with blending the blush it sheer's out quite a lot, in a way that i have to reaply to get it to show. this can also be looked at as a good point since it has the ability to appear very natural on the skin.
C***z;2024.02.17;4.0;Color Bloom Liquid Blush-On Point
m***2;2024.02.12;4.0;I love how soft this blush is, even though i love the fact that i can work it into the skin perfectly, i would really like it to be more pronounced. Overall, it’s a really good one.
A***k;2024.02.09;4.0;Color Bloom Liquid Blush-Petal Talk
M***n;2023.10.28;4.0;Do blendable and looks very good on!
E***i;2023.10.17;4.0;Color Bloom Liquid Blush Matte Finish-Love Cake
D***a;2023.10.13;4.0;Molto contenta di questo blush, sicuramente bisogna andarci piano perché è abbastanza pigmentato, lo consiglio anche come ombretto liquido.. da provare...
I***a;2023.07.13;4.0;Thanks for the order, everything has arrived. I order already 4 times, but the cosmetics come all crumpled in broken boxes. Why is delivery in packages. I kindly ask you to send my orders in a box so that the products do not wrinkle along the way
V***y;2023.06.17;4.0;"Pros:
- Perfect matte finish
- Feels like nothing is on your skin
- good pigment
- Easy and fun to apply
- blends nicely with the liquid blush brush
- buildable
- I have dark skin and I didn’t have to put on layer upon layer for it to show up
My only complaint is that it wears off pretty easily. At the end of the day it’s barely visible BUT I don’t use a setting spray so that could be it LOL"
S***r;2023.05.31;4.0;It’s easy to blend not too pigmented but slow to arrive to my house. Otherwise great product😀
H***y;2023.05.03;4.0;Nice color but more peachy orange than it showed on the website. I dont recommend blending with beauty blender because it absorbs the product and takes away the pigment. Blend with sheglam paw print blush brush! Love how the blush feels on skin.
P***d;2023.03.14;4.0;Works well, color sticks, good shade, however, it's shien
S***k;2023.03.14;4.0;alr
E***r;2023.02.26;4.0;So pretty 😍
E***o;2023.02.20;4.0;Color Bloom Liquid Blush Matte Finish-Hush Hush
A***z;2023.02.18;4.0;I’m obsessed with the sheglam liquid blushes but I don’t really know how I feel about this shade.
N***w;2023.02.12;4.0;Color Bloom Liquid Blush Matte Finish-Rose Ritual
S***o;2023.01.31;4.0;This blush is beautiful and blends well, but is a little light for my skin tone so I have to layer a lot.
d***n;2023.01.12;4.0;the applicator is amazing, and the blush has a great consistency and blends wel
V***n;2022.10.30;4.0;love the blush a lot! super pretty color! wish there was more product though
L***.;2022.10.26;4.0;"Just a hint of sheer color is left, very fresh and natural looking. I have a olive complexion that is normal-dry. Just what you want for a daily look, I reach for this constantly. Let’s your true skin, shhhh it’s our secret, shine through. Very easy to just lightly tap in, and easy to blend.
However, I did need to touch up as the color seems to fade. That’s why this only get 4/5 stars."
A***n;2022.09.09;4.0;Color Bloom Liquid Blush-Hush Hush
A***J;2022.08.24;4.0;These are super easy to blend (I usually use my fingers) and are highly pigmented. I usually only need 1 dot on each cheek for the flush of color I like. I like the applicator, I think it is fun and different. The packaging is cute, I just worry about how much product is in it and whether it will last a while. Would definitely buy again in more colors
O***l;2022.05.28;4.0;Color Bloom Liquid Blush-Rose Ritual
P***n;2022.04.10;4.0;only problem is that I picked out a color that was a bit too light, but can apply more to adjust it better.
K***f;2024.09.05;3.0;Color Bloom Liquid Blush-Hot Topic
S***e;2024.08.08;3.0;It feels so light on the skin but is not pigmented.
F***A;2024.04.26;3.0;Il prodotto in sé è carino, ma il colore è davvero troppo chiaro. Tenete conto che non ho la pelle lattea, ma nemmeno scura e su di me la tinta non si vede assolutamente.
t***o;2024.03.24;3.0;the package was damaged, so impossible to gift, but product inside was OK
M***3;2024.02.25;3.0;its a solid pink type of blush yet i wished it would've been more true to the image colour wich shows a pink with more of a redish undertone unlike petal talk which has a cooler undertone. this one feels more like a middle colour that tries to be both yet neither. nonetheless good pigmentation and easy to blend out. the packaging feels lux for such a low pricepoint wich is really refreshing
P***o;2024.02.12;3.0;Very pigmented have a hard time learn how to use it
Z***E;2023.10.03;3.0;I love the color Night Drive, but there was little to no product in the actual container. Very disappointing. It almost looked empty.
A***n;2022.12.07;3.0;I thought it looked like a cool-toned pale pink when I looked at it online. But when it got there I realized it was more of a coral pink blush. Super long lasting and pigmented though.
L***.;2022.10.26;3.0;I have olive skin that is normal-dry. This blush is a very highly pigmented color of the sheerest red color that looks intimidating but blends beautiful giving you that glam color needed for a date night. It doesn’t stay though so only giving it 3 stars. Great concept  but color just didn’t set all night.
L***.;2022.10.26;3.0;I have an olive complexion, this color was a sheer peachy/pink color. It looked a little clownish at first, a little goes a long way. Very pigmented, but then quickly blended to a freshly pinched cheek color. Although I like the concept of this, it lets your skin shine through… the color just doesn’t stay and needs to be reapplied often. That’s why I gave it 3/5.
D***n;2022.10.17;3.0;"I tried this as soon as I got it and I loved the color and it stayed very well. But I actually contacted customer service and told them that there is no possible way to get more of the product on the sponge because it is too short! I you hold it next to the bottle, it is easy to see that you will never get the product that you paid for out of there! It cannot reach. So you are going to get what the very tip can touch and if you use it alot, once that is gone, you won't get any more product. It will literally be sitting in the bottom of the bottle with no way to get it out since the neck of the bottle  is so narrow. Throwing your money away. It's too bad because it's a great blush. But you all know what I;m saying. It's the same way with every lip gloss with a wand out there. they make it too short to reach the bottom so you throw away product. I told them this when it first launched and was sad to see they didn't care and did not change the applicator length. Sad."
S***A;2022.10.11;3.0;I like the concept of this blush. Hush hush was the color I chose and at first I thought I really liked it. I wanted something subtle but it may be too subtle for the cheeks. It faded quickly and I’m not one to reapply. Good concept not a great color for me.
J***s;2022.08.17;3.0;I really love the formula of this blush. I took the time to find a good cool tone, but what I thought was a mauve-y pink was much more peach than the site indicated to me.
Y***e;2024.11.23;1.0;Beautiful color, just not for my skin tone
C***s;2023.08.06;5.0;I absolutely loved the products I got from SHEGLAM! The eyeshadow primer was so effective and left my eye looks brighter and longer lasting. The eyeshadow pallet is the cutest thing but I haven’t had the time to use it yet. I use SHEGLAM products (the contour puff) in my everyday makeup because of how effective it is. Cant wait to continue shopping with y’all! ❤️❤️
s***m;2025.02.01;5.0;Finally now I can get my shimmer eyeshadow to actually stay on
S***z;2024.01.08;5.0;Easy to use a creates a perfect base for shadow.
F***i;2023.11.06;5.0;Kept my shadow in place all night. Will be buying it again
H***s;2023.10.29;5.0;Ready Set Eyeshadow Primer
C***s;2023.08.06;5.0;I absolutely loved the products I got from SHEGLAM! The eyeshadow primer was so effective and left my eye looks brighter and longer lasting. The eyeshadow pallet is the cutest thing but I haven’t had the time to use it yet. I use SHEGLAM products (the contour puff) in my everyday makeup because of how effective it is. Cant wait to continue shopping with y’all! ❤️❤️
s***m;2025.02.01;5.0;Finally now I can get my shimmer eyeshadow to actually stay on
S***z;2024.01.08;5.0;Easy to use a creates a perfect base for shadow.
F***i;2023.11.06;5.0;Kept my shadow in place all night. Will be buying it again
H***s;2023.10.29;5.0;Ready Set Eyeshadow Primer
A***R;2023.09.21;5.0;So smooth, even ..love
s***h;2023.06.07;5.0;Ready Set Eyeshadow Primer
M***i;2023.05.02;5.0;👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
C***r;2023.02.10;3.0;Ready Set Eyeshadow Primer
A***r;2023.09.24;1.0;Mein Paket kam nie an und der Kundenservice antwortet mir nicht
s***m;2025.02.01;5.0;Love the coverage of this foundation stick
n***r;2024.12.16;5.0;"good packaging 
nice coverage!"
N***A;2024.11.22;5.0;excelente cobertura
E***u;2024.09.10;5.0;Skin Magnet High Coverage Foundation Stick-Sand
n***7;2024.09.08;5.0;Coverage is great but I def picked too light a shade. I was looking like a ghost 😂 I’m fair with pink undertones but am Hispanic so do get tan when in the sun more . Going to try warm vanilla next and hope for a better match!
s***m;2025.02.01;5.0;Love the coverage of this foundation stick
n***r;2024.12.16;5.0;"good packaging 
nice coverage!"
N***A;2024.11.22;5.0;excelente cobertura
E***u;2024.09.10;5.0;Skin Magnet High Coverage Foundation Stick-Sand
n***7;2024.09.08;5.0;Coverage is great but I def picked too light a shade. I was looking like a ghost 😂 I’m fair with pink undertones but am Hispanic so do get tan when in the sun more . Going to try warm vanilla next and hope for a better match!
s***m;2025.02.01;5.0;Love the coverage of this foundation stick
n***r;2024.12.16;5.0;"good packaging 
nice coverage!"
N***A;2024.11.22;5.0;excelente cobertura
E***u;2024.09.10;5.0;Skin Magnet High Coverage Foundation Stick-Sand
n***7;2024.09.08;5.0;Coverage is great but I def picked too light a shade. I was looking like a ghost 😂 I’m fair with pink undertones but am Hispanic so do get tan when in the sun more . Going to try warm vanilla next and hope for a better match!
s***m;2025.02.01;5.0;Love the coverage of this foundation stick
n***r;2024.12.16;5.0;"good packaging 
nice coverage!"
N***A;2024.11.22;5.0;excelente cobertura
E***u;2024.09.10;5.0;Skin Magnet High Coverage Foundation Stick-Sand
n***7;2024.09.08;5.0;Coverage is great but I def picked too light a shade. I was looking like a ghost 😂 I’m fair with pink undertones but am Hispanic so do get tan when in the sun more . Going to try warm vanilla next and hope for a better match!
s***m;2025.02.01;5.0;Love the coverage of this foundation stick
n***r;2024.12.16;5.0;"good packaging 
nice coverage!"
N***A;2024.11.22;5.0;excelente cobertura
E***u;2024.09.10;5.0;Skin Magnet High Coverage Foundation Stick-Sand
n***7;2024.09.08;5.0;Coverage is great but I def picked too light a shade. I was looking like a ghost 😂 I’m fair with pink undertones but am Hispanic so do get tan when in the sun more . Going to try warm vanilla next and hope for a better match!
s***m;2025.02.01;5.0;Love the coverage of this foundation stick
n***r;2024.12.16;5.0;"good packaging 
nice coverage!"
N***A;2024.11.22;5.0;excelente cobertura
E***u;2024.09.10;5.0;Skin Magnet High Coverage Foundation Stick-Sand
n***7;2024.09.08;5.0;Coverage is great but I def picked too light a shade. I was looking like a ghost 😂 I’m fair with pink undertones but am Hispanic so do get tan when in the sun more . Going to try warm vanilla next and hope for a better match!
s***m;2025.02.01;5.0;Love the coverage of this foundation stick
n***r;2024.12.16;5.0;"good packaging 
nice coverage!"
N***A;2024.11.22;5.0;excelente cobertura
E***u;2024.09.10;5.0;Skin Magnet High Coverage Foundation Stick-Sand
n***7;2024.09.08;5.0;Coverage is great but I def picked too light a shade. I was looking like a ghost 😂 I’m fair with pink undertones but am Hispanic so do get tan when in the sun more . Going to try warm vanilla next and hope for a better match!
s***m;2025.02.01;5.0;Love the coverage of this foundation stick
n***r;2024.12.16;5.0;"good packaging 
nice coverage!"
N***A;2024.11.22;5.0;excelente cobertura
E***u;2024.09.10;5.0;Skin Magnet High Coverage Foundation Stick-Sand
n***7;2024.09.08;5.0;Coverage is great but I def picked too light a shade. I was looking like a ghost 😂 I’m fair with pink undertones but am Hispanic so do get tan when in the sun more . Going to try warm vanilla next and hope for a better match!
L***n;2024.09.06;5.0;Skin Magnet High Coverage Foundation Stick-Linen
C***r;2024.09.05;5.0;Nice and lightweight. Doesn’t feel like I have anything on my face! Medium to full coverage and I fell in love the first time putting it on!
R***z;2024.08.30;5.0;Skin Magnet High Coverage Foundation Stick-Porcelain
V***t;2024.08.10;5.0;Skin Magnet High Coverage Foundation Stick-Caramel
V***m;2024.12.01;4.0;Love
a***m;2024.08.27;4.0;It applies well, but the color is too dark.
M***l;2024.08.12;4.0;My first foundation stick and it was easy to use. It is thick, but absolutely the full coverage that I need.
C***r;2024.09.13;3.0;Great coverage but it’s so oily.  Does not work for oily skin
S***l;2024.08.25;3.0;I love the way the foundation went on so smoothly, however, the shade was way too light. It's too hard to tell when looking at the pictures online how they will appear on the flesh.
a***m;2024.08.27;4.0;It applies well, but the color is too dark.
M***l;2024.08.12;4.0;My first foundation stick and it was easy to use. It is thick, but absolutely the full coverage that I need.
C***r;2024.09.13;3.0;Great coverage but it’s so oily.  Does not work for oily skin
S***l;2024.08.25;3.0;I love the way the foundation went on so smoothly, however, the shade was way too light. It's too hard to tell when looking at the pictures online how they will appear on the flesh.
b***m;2024.12.29;5.0;It leaves a beautiful color on the lips. I love it.
s***1;2024.12.10;5.0;Love it! Perfect color
I***.;2024.08.22;5.0;Jelly-Licious Hydrating Lip & Blush Tint-Cheerio
N***A;2024.11.22;2.0;El color me encantó todo, pero al darle rosca, la gelatina se ha salido del envase...Y lo use dos veces.
b***m;2024.12.29;5.0;It leaves a beautiful color on the lips. I love it.
s***1;2024.12.10;5.0;Love it! Perfect color
I***.;2024.08.22;5.0;Jelly-Licious Hydrating Lip & Blush Tint-Cheerio
N***A;2024.11.22;2.0;El color me encantó todo, pero al darle rosca, la gelatina se ha salido del envase...Y lo use dos veces.
